author,comment,likes,published_at
@No-body207d3,"THOR ODINSON
PROTECTOR OF MANKIND
RIDE TO MEET YOUR FATE
YOUR DESTINY AWAITS",0,2026-01-20T21:51:28Z
@JackHorstmann,Thor isn’t scared of anything or anyone not even Thanos,1,2026-01-20T21:06:18Z
@bobleonheart9600,Should have done the Annihilation War. The Avengers are boring and Terrestrial Marvel is too small.,0,2026-01-20T18:46:53Z
@viwedayile8748,"The suspense is killing me right now, Oh man I can't wait ❤🎬",0,2026-01-20T18:07:00Z
@edward.heart1,Shang-Chi nyana? Boma Moon Knight?,0,2026-01-20T17:49:12Z
@nikkojennings51,They need to let Thor have his true power,0,2026-01-20T17:24:00Z
@sivadevmr4834,"1e: 17ber: 0 2020 means ( in my opinion )
Exact 1 hour 17 minute in AVENGERS ENDGAME 
Balck widow and Hawkeye in vormir and Hawkeye lose his best friend Black winter maybe in this trailer Thor lose love like Hawkeye",0,2026-01-20T17:04:50Z
@RaingermediaWorld,തല ഇല്ലാതെ പിന്നെ എന്ത് പിന്നല്ല 😎😎😎😎😎😎😎,0,2026-01-20T17:01:32Z
@SalamiNinjaful,Score!,0,2026-01-20T16:43:09Z
@ThatoMalesa-tf2st,I hope this guy get's another best entry like infinity war entry,0,2026-01-20T15:25:23Z
@zainulnazir,Loki?,0,2026-01-20T15:12:35Z
@entropias_gonos,Kratos? That you?,0,2026-01-20T13:23:21Z
@ZainMangi-y8i,"Hello Marvel,
I am a very big fan of Marvel Studios, and my favorite character is Thor. I am also a big fan of Chris Hemsworth from Pakistan 🇵🇰.
I want to send this message, although I don’t know if it is okay to contact you this way.
The reason is that I heard from some places that Thor might die in Avengers: Doomsday or Avengers: Secret Wars. Is this true?
If it is true, then please don’t do this, because Thor means a lot to us fans. If Thor dies, what will happen to us fans? Also, Thor 5 is still expected.
Please consider my message.
Thank you.",0,2026-01-20T11:55:59Z
@jules263,"Wait, what happened to all the East Asian actors Marvel had bet the house on?",0,2026-01-20T11:29:37Z
@RoadWulf,The Thor we've been missing for 3 or 4 movies now. The serious one.,0,2026-01-20T10:38:45Z
@SC-24-33-np7wn,James Bond will return in Avengers: Doomsday,0,2026-01-20T06:37:59Z
@Zuki333,Wack,0,2026-01-20T06:24:26Z
@qwintersss,This is the Thor I know and love.,0,2026-01-20T05:24:59Z
